Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2021-04-21 06:00:00,55204.60000000,55822.77000000,54968.69000000,55304.04000000,8687.94958500,2021-04-21 09:59:59,481304360.05205588,302344,4060.50905700,224992004.85440480,0
2021-04-21 10:00:00,55304.04000000,55750.00000000,54276.85000000,54563.37000000,11444.90052100,2021-04-21 13:59:59,630446385.27572109,377735,5384.55101000,296636521.82521161,0
2021-04-21 14:00:00,54563.36000000,56346.70000000,54300.00000000,56153.75000000,13237.46564200,2021-04-21 17:59:59,736187051.90184603,361773,6722.01445500,373834942.66983751,0
2021-04-21 18:00:00,56149.93000000,56339.98000000,55129.00000000,55478.70000000,8554.67277200,2021-04-21 21:59:59,476270597.71425738,278314,4364.07050100,242944927.91934109,0
2021-04-21 22:00:00,55478.70000000,55481.16000000,53536.02000000,53787.63000000,14357.86025400,2021-04-22 01:59:59,781625644.82200344,485238,6987.92897800,380367602.33481870,0
2021-04-22 02:00:00,53787.62000000,54638.00000000,52561.00000000,53497.09000000,20660.95802700,2021-04-22 05:59:59,1107260520.16676729,449613,9956.58797400,533707522.25793614,0
2021-04-22 06:00:00,53494.63000000,54850.00000000,53450.00000000,54144.99000000,11139.01590600,2021-04-22 09:59:59,604744297.40245444,298539,5415.16040000,293950599.53029341,0
2021-04-22 10:00:00,54146.01000000,55223.00000000,53080.00000000,54866.62000000,15193.81089900,2021-04-22 13:59:59,821552104.55728532,415995,7414.17509500,400956453.02994359,0
2021-04-22 14:00:00,54866.63000000,55521.48000000,54310.04000000,54651.64000000,12713.72890800,2021-04-22 17:59:59,697194345.46439040,370014,6423.12405000,352209358.61153420,0
2021-04-22 18:00:00,54651.63000000,55166.19000000,52222.17000000,52923.54000000,20501.11210600,2021-04-22 21:59:59,1098634512.45832485,501891,9726.75593300,521356145.75015256,0
2021-04-22 22:00:00,52923.54000000,52932.39000000,50500.00000000,51690.96000000,24448.00549100,2021-04-23 01:59:59,1265598077.26886994,708569,11614.96801800,601565207.20884593,0
2021-04-23 02:00:00,51690.95000000,52131.85000000,48555.00000000,50298.76000000,39495.75050900,2021-04-23 05:59:59,1991206061.10536606,914664,19433.96908700,981149573.00938623,0
2021-04-23 06:00:00,50298.76000000,50572.08000000,47700.00000000,47942.44000000,30271.24101300,2021-04-23 09:59:59,1483161434.57953408,632137,14206.50897400,696672290.07587253,0
2021-04-23 10:00:00,47936.00000000,50269.17000000,47500.00000000,50070.36000000,24132.00104700,2021-04-23 13:59:59,1179176253.00434821,521160,12001.38704900,586338591.15448809,0
2021-04-23 14:00:00,50070.36000000,50300.00000000,48541.00000000,49836.62000000,15811.39073000,2021-04-23 17:59:59,781084997.70772382,330998,7775.66549900,384051663.20196425,0
2021-04-23 18:00:00,49836.63000000,50920.00000000,49470.26000000,50876.72000000,11761.53229300,2021-04-23 21:59:59,590029907.90022161,252043,5513.74206100,276590337.54552017,0
2021-04-23 22:00:00,50876.71000000,51301.34000000,50140.00000000,51125.14000000,10758.86512700,2021-04-24 01:59:59,546438663.17072458,237235,4838.34858300,245590339.06765303,0
2021-04-24 02:00:00,51110.56000000,51166.22000000,49304.06000000,50109.93000000,10590.62759600,2021-04-24 05:59:59,530174611.06717487,201051,5280.54799600,264287588.21045764,0
