Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2020-01-01 01:00:00,7195.24000000,7245.00000000,7175.46000000,7225.01000000,2833.74918000,2020-01-01 04:59:59,20445895.80179560,32476,1548.86561900,11176594.41972043,0
2020-01-01 05:00:00,7225.00000000,7236.27000000,7199.11000000,7209.83000000,2061.29505100,2020-01-01 08:59:59,14890182.27509305,29991,1049.71123600,7582850.37593562,0
2020-01-01 09:00:00,7209.83000000,7237.73000000,7180.00000000,7197.20000000,3166.65436100,2020-01-01 12:59:59,22807318.59055887,33507,1562.34431400,11253695.89627296,0
2020-01-01 13:00:00,7197.20000000,7255.00000000,7196.15000000,7234.19000000,3492.53745900,2020-01-01 16:59:59,25235559.66071409,36549,2086.27911900,15076709.32825345,0
2020-01-01 17:00:00,7234.20000000,7249.99000000,7214.00000000,7229.48000000,2980.58329100,2020-01-01 20:59:59,21561774.16981082,32877,1673.06059400,12104158.06723686,0
2020-01-01 21:00:00,7229.48000000,7242.98000000,7175.15000000,7200.85000000,2257.56882300,2020-01-02 00:59:59,16273721.61808985,28610,1026.69465300,7403777.12491502,0
2020-01-02 01:00:00,7200.77000000,7212.50000000,7120.37000000,7129.61000000,3739.35483200,2020-01-02 04:59:59,26789555.88832981,41321,1739.23444300,12463103.02396427,0
2020-01-02 05:00:00,7129.25000000,7161.00000000,7105.00000000,7110.57000000,4057.96135500,2020-01-02 08:59:59,28945573.83354037,40753,1814.54172000,12944586.90214649,0
2020-01-02 09:00:00,7110.98000000,7180.00000000,7109.11000000,7139.79000000,4162.20301000,2020-01-02 12:59:59,29771688.32422764,41502,2122.93353800,15185516.04679916,0
2020-01-02 13:00:00,7139.73000000,7163.40000000,7107.43000000,7130.98000000,4179.04183300,2020-01-02 16:59:59,29821656.36588822,41933,1929.32310500,13771352.26269946,0
2020-01-02 17:00:00,7130.37000000,7146.85000000,6924.74000000,6983.27000000,12699.02823300,2020-01-02 20:59:59,88967851.70900555,101577,5985.88601100,41902588.27541364,0
2020-01-02 21:00:00,6982.63000000,6985.00000000,6941.27000000,6965.71000000,3113.89466900,2020-01-03 00:59:59,21686015.18014871,35581,1549.69252300,10793682.56704162,0
2020-01-03 01:00:00,6965.49000000,6966.80000000,6871.04000000,6952.04000000,7625.89678800,2020-01-03 04:59:59,52836314.59680640,63802,3610.62128600,25022824.34185555,0
2020-01-03 05:00:00,6952.04000000,7264.71000000,6948.64000000,7203.21000000,17397.30470600,2020-01-03 08:59:59,124698016.58708977,112960,9381.14118100,67265606.05929410,0
2020-01-03 09:00:00,7202.28000000,7371.92000000,7202.28000000,7340.46000000,15196.88502100,2020-01-03 12:59:59,110976530.27168470,115788,7829.59847600,57190407.72452470,0
