symbol,price
ETHBTC,0.06116800
LTCBTC,0.00401800
BNBBTC,0.00947200
NEOBTC,0.00100600
QTUMETH,0.00318000
EOSETH,0.00199100
SNTETH,0.00003293
BNTETH,0.00153700
BCCBTC,0.07908100
GASBTC,0.00020130
BNBETH,0.15480000
BTCUSDT,33173.31000000
ETHUSDT,2029.70000000
HSRBTC,0.00041400
OAXETH,0.00017780
DNTETH,0.00002801
MCOETH,0.00577200
ICNETH,0.00166300
MCOBTC,0.00021140
WTCBTC,0.00001608
WTCETH,0.00023700
LRCBTC,0.00000692
LRCETH,0.00011331
QTUMBTC,0.00019430
YOYOBTC,0.00000033
OMGBTC,0.00012200
OMGETH,0.00199500
ZRXBTC,0.00002238
ZRXETH,0.00036541
STRATBTC,0.00003085
STRATETH,0.00105300
SNGLSBTC,0.00000024
SNGLSETH,0.00005306
BQXBTC,0.00006298
BQXETH,0.00102910
KNCBTC,0.00004433
KNCETH,0.00072670
FUNBTC,0.00000045
FUNETH,0.00000749
SNMBTC,0.00000444
SNMETH,0.00004986
NEOETH,0.01648300
IOTABTC,0.00002399
IOTAETH,0.00039236
LINKBTC,0.00053231
LINKETH,0.00869900
XVGBTC,0.00000061
XVGETH,0.00001003
SALTBTC,0.00004250
SALTETH,0.00113800
MDABTC,0.00001834
MDAETH,0.00181150
MTLBTC,0.00005700
MTLETH,0.00093200
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.00012170
SNTBTC,0.00000201
ETCETH,0.02328700
ETCBTC,0.00142500
MTHBTC,0.00000056
MTHETH,0.00004135
ENGBTC,0.00006200
ENGETH,0.00186480
DNTBTC,0.00000367
ZECBTC,0.00323600
ZECETH,0.05293000
BNTBTC,0.00009363
ASTBTC,0.00000354
ASTETH,0.00006960
DASHBTC,0.00379300
DASHETH,0.06195000
OAXBTC,0.00000360
ICNBTC,0.00005742
BTGBTC,0.00128500
BTGETH,0.05274500
EVXBTC,0.00001044
EVXETH,0.00062490
REQBTC,0.00000148
REQETH,0.00004995
VIBBTC,0.00000109
VIBETH,0.00001784
HSRETH,0.01247400
TRXBTC,0.00000181
TRXETH,0.00002972
POWRBTC,0.00000608
POWRETH,0.00009981
ARKBTC,0.00002956
ARKETH,0.00104600
YOYOETH,0.00005828
XRPBTC,0.00001905
XRPETH,0.00031141
MODBTC,0.00004280
MODETH,0.00116700
ENJBTC,0.00003908
ENJETH,0.00063849
STORJBTC,0.00002686
STORJETH,0.00029910
BNBUSDT,314.21000000
VENBNB,0.14920000
YOYOBNB,0.00059800
POWRBNB,0.00385000
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,0.00002370
KMDETH,0.00038800
NULSBNB,0.01257000
RCNBTC,0.00000079
RCNETH,0.00037604
RCNBNB,0.00347300
NULSBTC,0.00001110
NULSETH,0.00051926
RDNBTC,0.00000851
RDNETH,0.00071530
RDNBNB,0.00623000
XMRBTC,0.00626000
XMRETH,0.10247000
DLTBNB,0.00240000
WTCBNB,0.00180500
DLTBTC,0.00000181
DLTETH,0.00016807
AMBBTC,0.00000081
AMBETH,0.00004100
AMBBNB,0.00068500
BCCETH,2.47246000
BCCUSDT,448.70000000
BCCBNB,54.29000000
BATBTC,0.00001657
BATETH,0.00027162
BATBNB,0.00175700
BCPTBTC,0.00000048
BCPTETH,0.00008181
BCPTBNB,0.00116200
ARNBTC,0.00000761
ARNETH,0.00029362
GVTBTC,0.00006730
GVTETH,0.00384600
CDTBTC,0.00000046
CDTETH,0.00000746
GXSBTC,0.00001398
GXSETH,0.00022800
NEOUSDT,33.40400000
NEOBNB,0.10620000
POEBTC,0.00000005
POEETH,0.00000664
QSPBTC,0.00000097
QSPETH,0.00001569
QSPBNB,0.00052350
BTSBTC,0.00000123
BTSETH,0.00009498
BTSBNB,0.00144800
XZCBTC,0.00013550
XZCETH,0.00310000
XZCBNB,0.26750000
LSKBTC,0.00008020
LSKETH,0.00131000
LSKBNB,0.06494000
TNTBTC,0.00000261
TNTETH,0.00000920
FUELBTC,0.00000026
FUELETH,0.00002221
MANABTC,0.00002058
MANAETH,0.00033613
BCDBTC,0.00005904
BCDETH,0.00251000
DGDBTC,0.00393100
DGDETH,0.19260000
IOTABNB,0.00254100
ADXBTC,0.00001021
ADXETH,0.00016740
ADXBNB,0.00492900
ADABTC,0.00003917
ADAETH,0.00064010
PPTBTC,0.00005809
PPTETH,0.00141000
CMTBTC,0.00000028
CMTETH,0.00000625
CMTBNB,0.00057700
XLMBTC,0.00000724
XLMETH,0.00011825
XLMBNB,0.00076400
CNDBTC,0.00000033
CNDETH,0.00002599
CNDBNB,0.00033990
LENDBTC,0.00004512
LENDETH,0.00137174
WABIBTC,0.00000452
WABIETH,0.00040308
WABIBNB,0.00047800
LTCETH,0.06564000
LTCUSDT,133.30000000
LTCBNB,0.42390000
TNBBTC,0.00000007
TNBETH,0.00000752
WAVESBTC,0.00041910
WAVESETH,0.00686400
WAVESBNB,0.04433000
GTOBTC,0.00000113
GTOETH,0.00003197
GTOBNB,0.00035200
ICXBTC,0.00002685
ICXETH,0.00043900
ICXBNB,0.00285400
OSTBTC,0.00000032
OSTETH,0.00000205
OSTBNB,0.00052500
ELFBTC,0.00000637
ELFETH,0.00010446
AIONBTC,0.00000379
AIONETH,0.00006200
AIONBNB,0.00261300
NEBLBTC,0.00002782
NEBLETH,0.00045500
NEBLBNB,0.01356000
BRDBTC,0.00000334
BRDETH,0.00005480
BRDBNB,0.00247000
MCOBNB,0.26837000
EDOBTC,0.00005609
EDOETH,0.00226600
WINGSBTC,0.00001193
WINGSETH,0.00033460
NAVBTC,0.00001172
NAVETH,0.00019060
NAVBNB,0.00423700
LUNBTC,0.00008510
LUNETH,0.00489100
TRIGBTC,0.00001980
TRIGETH,0.00059400
TRIGBNB,0.01218000
APPCBTC,0.00000157
APPCETH,0.00014600
APPCBNB,0.00189100
VIBEBTC,0.00000042
VIBEETH,0.00005720
RLCBTC,0.00008627
RLCETH,0.00141300
RLCBNB,0.03344000
INSBTC,0.00000618
INSETH,0.00050100
PIVXBTC,0.00001595
PIVXETH,0.00026020
PIVXBNB,0.01660000
IOSTBTC,0.00000062
IOSTETH,0.00001019
CHATBTC,0.00000195
CHATETH,0.00006585
STEEMBTC,0.00001284
STEEMETH,0.00021030
STEEMBNB,0.00448000
NANOBTC,0.00013080
NANOETH,0.00214000
NANOBNB,0.05589000
VIABTC,0.00001265
VIAETH,0.00085600
VIABNB,0.00958000
BLZBTC,0.00000438
BLZETH,0.00007140
BLZBNB,0.00046200
AEBTC,0.00000292
AEETH,0.00021900
AEBNB,0.00777000
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.00145700
NCASHBTC,0.00000005
NCASHETH,0.00000071
NCASHBNB,0.00006790
POABTC,0.00000091
POAETH,0.00004891
POABNB,0.00092100
ZILBTC,0.00000216
ZILETH,0.00003541
ZILBNB,0.00022810
ONTBTC,0.00002137
ONTETH,0.00035000
ONTBNB,0.00226300
STORMBTC,0.00000035
STORMETH,0.00001398
STORMBNB,0.00006550
QTUMBNB,0.09597000
QTUMUSDT,6.45300000
XEMBTC,0.00000360
XEMETH,0.00005888
XEMBNB,0.00244100
WANBTC,0.00001708
WANETH,0.00027950
WANBNB,0.00181000
WPRBTC,0.00000026
WPRETH,0.00004020
QLCBTC,0.00000069
QLCETH,0.00001129
SYSBTC,0.00000393
SYSETH,0.00011047
SYSBNB,0.00163500
QLCBNB,0.00092200
GRSBTC,0.00002032
GRSETH,0.00076455
ADAUSDT,1.29950000
ADABNB,0.00413700
CLOAKBTC,0.00015550
CLOAKETH,0.00414200
GNTBTC,0.00000678
GNTETH,0.00022071
GNTBNB,0.00243900
LOOMBTC,0.00000190
LOOMETH,0.00003106
LOOMBNB,0.00088500
XRPUSDT,0.63210000
BCNBTC,0.00000022
BCNETH,0.00000707
BCNBNB,0.00002000
REPBTC,0.00046350
REPETH,0.00758000
REPBNB,0.44670000
BTCTUSD,33177.40000000
TUSDBTC,0.00025971
ETHTUSD,2029.75000000
TUSDETH,0.00762097
TUSDBNB,0.06777000
ZENBTC,0.00174410
ZENETH,0.02855000
ZENBNB,0.18400000
SKYBTC,0.00002537
SKYETH,0.00222000
